APARCAMIENTO,EventTime,EventDesc
VEGUETA,01/05/2023 10:47,SALIDA
VEGUETA,01/05/2023 10:47,ENTRADA
VEGUETA,01/05/2023 10:48,ENTRADA
VEGUETA,01/05/2023 10:48,ENTRADA
VEGUETA,01/05/2023 10:49,ENTRADA
VEGUETA,01/05/2023 10:49,ENTRADA
VEGUETA,01/05/2023 10:50,SALIDA
VEGUETA,01/05/2023 10:50,ENTRADA
VEGUETA,01/05/2023 10:50,ENTRADA
VEGUETA,01/05/2023 10:52,ENTRADA
VEGUETA,01/05/2023 10:52,ENTRADA
VEGUETA,01/05/2023 10:53,ENTRADA
VEGUETA,01/05/2023 10:54,SALIDA
VEGUETA,01/05/2023 10:55,SALIDA
VEGUETA,01/05/2023 10:55,ENTRADA
VEGUETA,01/05/2023 10:56,ENTRADA
VEGUETA,01/05/2023 10:57,ENTRADA
VEGUETA,01/05/2023 10:58,ENTRADA
VEGUETA,01/05/2023 10:59,ENTRADA
VEGUETA,01/05/2023 10:59,ENTRADA
VEGUETA,01/05/2023 11:00,ENTRADA
VEGUETA,01/05/2023 11:02,SALIDA
VEGUETA,01/05/2023 11:04,ENTRADA
VEGUETA,01/05/2023 11:04,ENTRADA
VEGUETA,01/05/2023 11:06,ENTRADA
VEGUETA,01/05/2023 11:07,ENTRADA
VEGUETA,01/05/2023 11:07,ENTRADA
VEGUETA,01/05/2023 11:09,ENTRADA
VEGUETA,01/05/2023 11:10,ENTRADA
VEGUETA,01/05/2023 11:10,ENTRADA
VEGUETA,01/05/2023 11:11,ENTRADA
VEGUETA,01/05/2023 11:11,ENTRADA
VEGUETA,01/05/2023 11:12,ENTRADA
VEGUETA,01/05/2023 11:13,SALIDA
VEGUETA,01/05/2023 11:13,ENTRADA
VEGUETA,01/05/2023 11:13,ENTRADA
VEGUETA,01/05/2023 11:14,ENTRADA
VEGUETA,01/05/2023 11:14,SALIDA
VEGUETA,01/05/2023 11:14,ENTRADA
VEGUETA,01/05/2023 11:15,ENTRADA
VEGUETA,01/05/2023 11:17,ENTRADA
VEGUETA,01/05/2023 11:17,SALIDA
VEGUETA,01/05/2023 11:17,ENTRADA
VEGUETA,01/05/2023 11:18,SALIDA
VEGUETA,01/05/2023 11:19,ENTRADA
VEGUETA,01/05/2023 11:19,SALIDA
VEGUETA,01/05/2023 11:20,ENTRADA
VEGUETA,01/05/2023 11:22,ENTRADA
VEGUETA,01/05/2023 11:23,ENTRADA
VEGUETA,01/05/2023 11:23,ENTRADA
VEGUETA,01/05/2023 11:23,ENTRADA
VEGUETA,01/05/2023 11:24,ENTRADA
VEGUETA,01/05/2023 11:24,ENTRADA
VEGUETA,01/05/2023 11:25,ENTRADA
VEGUETA,01/05/2023 11:26,ENTRADA
VEGUETA,01/05/2023 11:28,ENTRADA
VEGUETA,01/05/2023 11:30,SALIDA
VEGUETA,01/05/2023 11:31,ENTRADA
VEGUETA,01/05/2023 11:32,SALIDA
VEGUETA,01/05/2023 11:33,ENTRADA
VEGUETA,01/05/2023 11:34,ENTRADA
VEGUETA,01/05/2023 11:35,SALIDA
VEGUETA,01/05/2023 11:36,SALIDA
VEGUETA,01/05/2023 11:36,ENTRADA
VEGUETA,01/05/2023 11:38,SALIDA
VEGUETA,01/05/2023 11:40,ENTRADA
VEGUETA,01/05/2023 11:40,SALIDA
VEGUETA,01/05/2023 11:41,SALIDA
VEGUETA,01/05/2023 11:41,SALIDA
VEGUETA,01/05/2023 11:42,SALIDA
VEGUETA,01/05/2023 11:42,ENTRADA
VEGUETA,01/05/2023 11:45,SALIDA
VEGUETA,01/05/2023 11:46,SALIDA
VEGUETA,01/05/2023 11:48,ENTRADA
VEGUETA,01/05/2023 11:50,SALIDA
VEGUETA,01/05/2023 11:51,SALIDA
VEGUETA,01/05/2023 11:52,ENTRADA
VEGUETA,01/05/2023 11:54,ENTRADA
VEGUETA,01/05/2023 11:55,SALIDA
VEGUETA,01/05/2023 11:55,ENTRADA
VEGUETA,01/05/2023 11:56,SALIDA
VEGUETA,01/05/2023 11:56,SALIDA
VEGUETA,01/05/2023 11:59,ENTRADA
VEGUETA,01/05/2023 12:01,SALIDA
VEGUETA,01/05/2023 12:01,ENTRADA
VEGUETA,01/05/2023 12:02,ENTRADA
VEGUETA,01/05/2023 12:02,SALIDA
VEGUETA,01/05/2023 12:02,ENTRADA
VEGUETA,01/05/2023 12:03,SALIDA
VEGUETA,01/05/2023 12:04,ENTRADA
VEGUETA,01/05/2023 12:04,ENTRADA
VEGUETA,01/05/2023 12:05,ENTRADA
VEGUETA,01/05/2023 12:05,ENTRADA
VEGUETA,01/05/2023 12:06,SALIDA
VEGUETA,01/05/2023 12:07,SALIDA
VEGUETA,01/05/2023 12:07,ENTRADA
VEGUETA,01/05/2023 12:07,ENTRADA
VEGUETA,01/05/2023 12:08,ENTRADA
VEGUETA,01/05/2023 12:09,SALIDA
VEGUETA,01/05/2023 12:09,ENTRADA
VEGUETA,01/05/2023 12:09,SALIDA
VEGUETA,01/05/2023 12:09,ENTRADA
VEGUETA,01/05/2023 12:12,ENTRADA
VEGUETA,01/05/2023 12:12,SALIDA
VEGUETA,01/05/2023 12:12,ENTRADA
VEGUETA,01/05/2023 12:12,SALIDA
VEGUETA,01/05/2023 12:13,ENTRADA
VEGUETA,01/05/2023 12:15,SALIDA
VEGUETA,01/05/2023 12:15,SALIDA
VEGUETA,01/05/2023 12:17,ENTRADA
VEGUETA,01/05/2023 12:17,SALIDA
VEGUETA,01/05/2023 12:18,SALIDA
VEGUETA,01/05/2023 12:19,SALIDA
VEGUETA,01/05/2023 12:19,SALIDA
VEGUETA,01/05/2023 12:19,SALIDA
VEGUETA,01/05/2023 12:20,SALIDA
VEGUETA,01/05/2023 12:21,SALIDA
VEGUETA,01/05/2023 12:21,SALIDA
VEGUETA,01/05/2023 12:21,SALIDA
VEGUETA,01/05/2023 12:22,SALIDA
VEGUETA,01/05/2023 12:24,SALIDA
VEGUETA,01/05/2023 12:25,SALIDA
VEGUETA,01/05/2023 12:26,SALIDA
VEGUETA,01/05/2023 12:27,SALIDA
VEGUETA,01/05/2023 12:27,ENTRADA
VEGUETA,01/05/2023 12:28,SALIDA
VEGUETA,01/05/2023 12:31,SALIDA
VEGUETA,01/05/2023 12:31,SALIDA
VEGUETA,01/05/2023 12:31,ENTRADA
VEGUETA,01/05/2023 12:32,SALIDA
VEGUETA,01/05/2023 12:32,SALIDA
VEGUETA,01/05/2023 12:32,ENTRADA
VEGUETA,01/05/2023 12:32,ENTRADA
VEGUETA,01/05/2023 12:33,ENTRADA
VEGUETA,01/05/2023 12:33,ENTRADA
VEGUETA,01/05/2023 12:33,SALIDA
VEGUETA,01/05/2023 12:34,SALIDA
VEGUETA,01/05/2023 12:35,SALIDA
VEGUETA,01/05/2023 12:35,SALIDA
VEGUETA,01/05/2023 12:35,SALIDA
VEGUETA,01/05/2023 12:35,SALIDA
VEGUETA,01/05/2023 12:36,SALIDA
VEGUETA,01/05/2023 12:37,SALIDA
VEGUETA,01/05/2023 12:37,ENTRADA
VEGUETA,01/05/2023 12:37,SALIDA
VEGUETA,01/05/2023 12:38,ENTRADA
VEGUETA,01/05/2023 12:39,SALIDA
VEGUETA,01/05/2023 12:39,SALIDA
VEGUETA,01/05/2023 12:40,ENTRADA
VEGUETA,01/05/2023 12:40,SALIDA
VEGUETA,01/05/2023 12:40,SALIDA
VEGUETA,01/05/2023 12:41,SALIDA
VEGUETA,01/05/2023 12:41,ENTRADA
VEGUETA,01/05/2023 12:41,SALIDA
VEGUETA,01/05/2023 12:41,ENTRADA
VEGUETA,01/05/2023 12:41,SALIDA
VEGUETA,01/05/2023 12:41,SALIDA
VEGUETA,01/05/2023 12:42,SALIDA
VEGUETA,01/05/2023 12:43,ENTRADA
VEGUETA,01/05/2023 12:43,ENTRADA
VEGUETA,01/05/2023 12:44,SALIDA
VEGUETA,01/05/2023 12:44,ENTRADA
VEGUETA,01/05/2023 12:44,SALIDA
VEGUETA,01/05/2023 12:44,SALIDA
VEGUETA,01/05/2023 12:45,ENTRADA
VEGUETA,01/05/2023 12:45,SALIDA
VEGUETA,01/05/2023 12:46,SALIDA
VEGUETA,01/05/2023 12:46,ENTRADA
VEGUETA,01/05/2023 12:46,SALIDA
VEGUETA,01/05/2023 12:48,SALIDA
VEGUETA,01/05/2023 12:48,SALIDA
VEGUETA,01/05/2023 12:48,SALIDA
VEGUETA,01/05/2023 12:48,SALIDA
VEGUETA,01/05/2023 12:49,SALIDA
VEGUETA,01/05/2023 12:49,SALIDA
VEGUETA,01/05/2023 12:50,ENTRADA
VEGUETA,01/05/2023 12:50,SALIDA
VEGUETA,01/05/2023 12:50,SALIDA
VEGUETA,01/05/2023 12:50,ENTRADA
VEGUETA,01/05/2023 12:51,SALIDA
VEGUETA,01/05/2023 12:52,SALIDA
VEGUETA,01/05/2023 12:53,ENTRADA
VEGUETA,01/05/2023 12:53,ENTRADA
VEGUETA,01/05/2023 12:55,SALIDA
VEGUETA,01/05/2023 12:55,ENTRADA
VEGUETA,01/05/2023 12:55,SALIDA
VEGUETA,01/05/2023 12:58,SALIDA
VEGUETA,01/05/2023 12:58,SALIDA
VEGUETA,01/05/2023 12:58,ENTRADA
VEGUETA,01/05/2023 12:59,SALIDA
VEGUETA,01/05/2023 12:59,ENTRADA
VEGUETA,01/05/2023 12:59,SALIDA
VEGUETA,01/05/2023 13:00,SALIDA
VEGUETA,01/05/2023 13:00,SALIDA
VEGUETA,01/05/2023 13:01,SALIDA
